zip_code,median_age,total_population,median_household_income,bachelors_degree,masters_degree,below_poverty,unemployed,uninsured_adults,with_disability,no_vehicle_households,zip_cd,facility_count,facility_density,is_desert
75044,36.1,47010.0,84016.0,8070.0,3408.0,4026.0,1368.0,1571.0,46849.0,400.0,75044,10.0,0.21272069772388852,0
75048,40.4,28210.0,126792.0,5415.0,2560.0,570.0,835.0,550.0,28210.0,201.0,75048,2.0,0.07089684509039348,0
75050,31.8,43856.0,68421.0,3996.0,1428.0,6254.0,1270.0,1947.0,43711.0,1025.0,75050,13.0,0.2964246625319227,0
75051,31.4,40166.0,49485.0,2093.0,642.0,7695.0,1039.0,2116.0,40070.0,796.0,75051,19.0,0.47303689687795647,0
75052,34.8,94636.0,84055.0,12768.0,4240.0,7563.0,2742.0,2796.0,94555.0,1018.0,75052,22.0,0.232469673274441,0
75054,36.5,17261.0,154412.0,3619.0,1949.0,630.0,205.0,305.0,17247.0,38.0,,0.0,0.0,1
75056,36.6,65785.0,111589.0,16493.0,6475.0,4786.0,1617.0,845.0,65785.0,557.0,75056,8.0,0.12160826936231664,0
75057,31.3,17280.0,73935.0,2164.0,841.0,2876.0,309.0,785.0,17113.0,180.0,75057,10.0,0.5787037037037037,0
75058,34.7,3801.0,113194.0,707.0,244.0,156.0,62.0,114.0,3801.0,13.0,75058,2.0,0.5261773217574323,0
75060,33.0,48997.0,67479.0,3940.0,1566.0,6476.0,1184.0,3053.0,48980.0,585.0,75060,3.0,0.0612282384635794,0
75061,31.9,56319.0,58236.0,4015.0,1233.0,8428.0,1408.0,3725.0,55974.0,1323.0,75061,14.0,0.24858395923223067,0
75062,31.1,52772.0,68692.0,7645.0,2376.0,3794.0,1151.0,2277.0,52743.0,869.0,75062,26.0,0.4926855150458576,0
75063,33.8,44570.0,106909.0,11389.0,8483.0,3103.0,930.0,545.0,44360.0,846.0,75063,8.0,0.17949293246578416,0
75065,39.1,12787.0,95403.0,2135.0,755.0,380.0,214.0,196.0,12787.0,87.0,75065,3.0,0.2346132791115977,0
75067,34.2,67117.0,75224.0,11416.0,4061.0,5180.0,1575.0,2327.0,66840.0,1018.0,75067,16.0,0.23838967772695444,0
75068,35.3,68074.0,119464.0,11911.0,5761.0,4589.0,1696.0,1792.0,68074.0,576.0,75068,7.0,0.10282927402532538,0
75069,39.3,39048.0,74967.0,6117.0,2708.0,5737.0,439.0,1005.0,38753.0,1097.0,75069,19.0,0.486580618725671,0
75070,36.0,57516.0,101188.0,14032.0,5887.0,2497.0,1359.0,1116.0,57486.0,347.0,75070,12.0,0.2086375964948884,0
75071,37.6,66298.0,124763.0,14357.0,5644.0,3694.0,1400.0,848.0,65150.0,617.0,75071,8.0,0.12066729011433226,0
75072,38.7,55304.0,147321.0,14370.0,5804.0,2343.0,1072.0,941.0,55184.0,259.0,,0.0,0.0,1
75074,34.5,51443.0,78441.0,8716.0,3966.0,6348.0,1162.0,2463.0,51325.0,657.0,75074,27.0,0.5248527496452384,0
75075,41.7,37032.0,89081.0,8623.0,3855.0,2185.0,884.0,736.0,36754.0,535.0,75075,31.0,0.8371138474832577,0
75076,47.3,8536.0,71910.0,974.0,115.0,352.0,249.0,110.0,8527.0,48.0,75076,2.0,0.23430178069353327,0
75077,40.4,39853.0,120254.0,9788.0,2992.0,1665.0,941.0,253.0,39706.0,572.0,75077,6.0,0.150553283316187,0
75078,35.7,40513.0,178254.0,10407.0,4641.0,1067.0,883.0,488.0,40457.0,164.0,75078,4.0,0.0987337397872288,0
75080,31.6,52184.0,86341.0,10841.0,5330.0,7098.0,1350.0,1515.0,51881.0,926.0,75080,55.0,1.0539629005059021,0
75081,35.6,36493.0,88161.0,7113.0,3311.0,3479.0,844.0,674.0,36355.0,979.0,75081,43.0,1.1783081686898857,0
75082,37.9,29386.0,108869.0,7725.0,4532.0,1800.0,1200.0,371.0,29372.0,215.0,75082,9.0,0.3062682910229361,0
75087,39.0,40201.0,124583.0,8502.0,3729.0,1270.0,868.0,1032.0,39627.0,198.0,75087,9.0,0.2238750279843785,0
75088,39.5,27143.0,101995.0,4445.0,1813.0,1978.0,570.0,506.0,27008.0,157.0,75088,8.0,0.29473529086689015,0
75089,37.8,34974.0,119332.0,6615.0,2358.0,2658.0,866.0,694.0,34959.0,260.0,75089,9.0,0.2573340195573855,0
75090,34.6,25788.0,56323.0,1558.0,447.0,3711.0,591.0,1365.0,25211.0,524.0,75090,29.0,1.1245540561501473,0
75092,41.3,26588.0,62741.0,3481.0,1531.0,2276.0,390.0,824.0,26506.0,378.0,75092,13.0,0.48894238002106216,0
75093,42.8,47069.0,121360.0,13981.0,7339.0,2688.0,904.0,594.0,46736.0,852.0,75093,39.0,0.8285708215598376,0
75094,39.5,23370.0,152461.0,3917.0,2639.0,1013.0,543.0,549.0,23370.0,142.0,75094,6.0,0.25673940949935814,0
75098,35.0,65655.0,112198.0,11455.0,4558.0,3387.0,1282.0,2125.0,65492.0,170.0,75098,15.0,0.2284669865204478,0
75101,33.8,668.0,50455.0,27.0,4.0,74.0,36.0,79.0,668.0,149.0,,0.0,0.0,1
75102,39.3,1877.0,65850.0,132.0,38.0,58.0,15.0,65.0,1877.0,27.0,,0.0,0.0,1
75103,44.5,16372.0,67878.0,1609.0,549.0,1332.0,137.0,562.0,16068.0,110.0,75103,7.0,0.42755924749572444,0
75104,35.3,49291.0,84760.0,5714.0,2577.0,4725.0,1759.0,1347.0,49116.0,421.0,75104,17.0,0.3448905479702177,0
75109,43.0,4466.0,73021.0,450.0,173.0,778.0,45.0,80.0,4466.0,30.0,,0.0,0.0,1
75110,34.4,31008.0,51048.0,1936.0,899.0,5255.0,1065.0,808.0,30302.0,557.0,75110,25.0,0.8062435500515995,0
75114,35.8,7123.0,96484.0,619.0,210.0,493.0,181.0,513.0,7123.0,8.0,,0.0,0.0,1
75115,41.2,56012.0,81895.0,6445.0,4141.0,4513.0,2378.0,1541.0,55491.0,703.0,75115,56.0,0.9997857601942441,0
75116,36.0,20145.0,57245.0,1715.0,721.0,1863.0,898.0,1559.0,19960.0,244.0,75116,18.0,0.8935219657483247,0
75117,34.2,4576.0,93373.0,311.0,42.0,695.0,18.0,59.0,4564.0,69.0,,0.0,0.0,1
75119,34.8,29509.0,77225.0,2867.0,618.0,3235.0,542.0,2020.0,29273.0,303.0,75119,8.0,0.2711037310650988,0
75124,40.8,5822.0,76013.0,611.0,154.0,575.0,115.0,8.0,5822.0,73.0,,0.0,0.0,1
75125,38.7,6920.0,63684.0,315.0,144.0,1092.0,129.0,114.0,6920.0,62.0,,0.0,0.0,1
75126,32.1,67852.0,101456.0,10089.0,3304.0,4985.0,1775.0,1710.0,67706.0,455.0,75126,5.0,0.07368979543712788,0
75127,48.3,1781.0,58330.0,104.0,82.0,243.0,19.0,66.0,1781.0,13.0,,0.0,0.0,1
75134,31.0,20179.0,65114.0,1492.0,978.0,2065.0,440.0,437.0,20071.0,246.0,75134,3.0,0.1486694087913177,0
75135,36.8,8515.0,88369.0,804.0,334.0,305.0,388.0,216.0,8515.0,49.0,,0.0,0.0,1
75137,39.2,20013.0,81160.0,2294.0,1113.0,2193.0,576.0,724.0,20013.0,274.0,75137,7.0,0.3497726477789437,0
75140,39.8,7933.0,44091.0,573.0,164.0,1422.0,184.0,80.0,7732.0,137.0,75140,6.0,0.756334299760494,0
75141,26.4,4510.0,45213.0,150.0,50.0,1060.0,81.0,275.0,4452.0,74.0,,0.0,0.0,1
75142,35.5,22756.0,75072.0,1337.0,337.0,3142.0,400.0,926.0,22224.0,336.0,75142,6.0,0.26366672525927226,0
75143,42.3,14584.0,64178.0,1306.0,294.0,1890.0,369.0,179.0,14459.0,150.0,75143,4.0,0.27427317608337903,0
75144,46.2,3883.0,60154.0,389.0,144.0,712.0,75.0,112.0,3799.0,102.0,75144,1.0,0.25753283543651817,0
75146,33.4,24089.0,68001.0,2327.0,914.0,4512.0,1048.0,556.0,23610.0,340.0,75146,12.0,0.49815268379758393,0
75147,37.6,8239.0,49167.0,577.0,214.0,1058.0,276.0,376.0,8203.0,111.0,75147,1.0,0.12137395314965409,0
75148,47.1,6143.0,57917.0,687.0,192.0,990.0,113.0,110.0,6061.0,173.0,75148,1.0,0.16278691193228065,0
75149,33.6,59371.0,64858.0,3182.0,1182.0,7823.0,1299.0,1673.0,59176.0,770.0,75149,17.0,0.2863350794158765,0
75150,34.1,63895.0,66265.0,5238.0,1979.0,7139.0,1858.0,2401.0,63510.0,1547.0,75150,57.0,0.8920885828312074,0
75152,35.2,5859.0,81772.0,489.0,159.0,582.0,155.0,143.0,5859.0,37.0,,0.0,0.0,1
75153,35.7,568.0,95066.0,100.0,31.0,24.0,8.0,31.0,568.0,8.0,,0.0,0.0,1
75154,36.8,48510.0,95035.0,5963.0,2692.0,4617.0,1438.0,1858.0,48355.0,482.0,75154,1.0,0.02061430632859204,0
75155,35.2,3142.0,56912.0,127.0,8.0,638.0,10.0,53.0,3122.0,32.0,,0.0,0.0,1
75156,47.8,16262.0,52464.0,1259.0,497.0,3673.0,564.0,298.0,16262.0,372.0,,0.0,0.0,1
75158,37.1,6202.0,88125.0,632.0,228.0,364.0,66.0,168.0,6202.0,13.0,,0.0,0.0,1
75159,35.9,22751.0,69301.0,1512.0,435.0,2696.0,695.0,1176.0,20796.0,270.0,75159,1.0,0.043954111907168913,0
75160,36.4,25964.0,67102.0,2235.0,848.0,3504.0,765.0,1029.0,25667.0,579.0,75160,14.0,0.5392081343398553,0
75161,49.6,6468.0,74932.0,421.0,88.0,762.0,274.0,85.0,6468.0,18.0,,0.0,0.0,1
75163,59.2,2540.0,54741.0,279.0,116.0,480.0,168.0,25.0,2540.0,24.0,75163,2.0,0.7874015748031495,0
75164,59.2,430.0,52736.0,703.0,259.0,85.0,226.0,30.0,430.0,149.0,,0.0,0.0,1
75165,33.9,48970.0,83970.0,5750.0,2264.0,4170.0,906.0,1372.0,48201.0,707.0,75165,23.0,0.4696753114151522,0
75166,35.1,5762.0,123653.0,855.0,389.0,129.0,57.0,80.0,5762.0,18.0,,0.0,0.0,1
75167,37.5,13421.0,117254.0,2016.0,752.0,421.0,327.0,341.0,13363.0,90.0,,0.0,0.0,1
75169,40.9,15361.0,56445.0,966.0,415.0,2559.0,225.0,542.0,15285.0,199.0,75169,5.0,0.3254996419503939,0
75172,34.4,5378.0,63003.0,142.0,76.0,947.0,168.0,199.0,5116.0,108.0,,0.0,0.0,1
75173,36.1,9296.0,96636.0,793.0,243.0,398.0,301.0,138.0,9296.0,31.0,,0.0,0.0,1
75180,31.3,27050.0,57827.0,949.0,241.0,3108.0,1171.0,1868.0,26996.0,483.0,75180,7.0,0.2587800369685767,0
75181,31.2,27980.0,107734.0,2303.0,953.0,2192.0,418.0,1144.0,27940.0,219.0,75181,21.0,0.7505360972122945,0
75182,43.1,7873.0,152632.0,1691.0,1013.0,570.0,252.0,155.0,7873.0,143.0,75182,13.0,1.6512130064778356,0
75189,35.4,38261.0,114068.0,4862.0,1713.0,1928.0,778.0,989.0,38217.0,219.0,75189,4.0,0.10454509814171088,0
75201,31.7,17985.0,102891.0,5972.0,2990.0,2800.0,496.0,73.0,17985.0,984.0,75201,3.0,0.16680567139282737,0
75202,33.4,2421.0,113843.0,871.0,449.0,122.0,28.0,263.0,2384.0,153.0,,0.0,0.0,1
75203,33.3,16265.0,43376.0,1005.0,681.0,4869.0,727.0,964.0,16265.0,1067.0,75203,6.0,0.3688902551490931,0
75204,30.9,31627.0,88142.0,10261.0,4637.0,3934.0,1229.0,347.0,31538.0,1415.0,75204,7.0,0.22132987637145476,0
75205,33.1,25212.0,180698.0,6532.0,3269.0,1855.0,602.0,137.0,25212.0,305.0,75205,1.0,0.039663652229097256,0
75206,30.9,38432.0,84784.0,13979.0,4771.0,4410.0,1072.0,433.0,38328.0,1288.0,75206,8.0,0.20815986677768528,0
75207,32.6,8029.0,88655.0,1315.0,438.0,338.0,109.0,263.0,3041.0,56.0,75207,3.0,0.3736455349358575,0
75208,35.5,29992.0,75699.0,4963.0,2158.0,3571.0,768.0,757.0,29968.0,819.0,75208,6.0,0.20005334755934917,0
75209,39.7,14208.0,116477.0,4529.0,2033.0,532.0,209.0,171.0,14083.0,281.0,75209,2.0,0.14076576576576577,0
75210,26.6,8750.0,26822.0,146.0,81.0,2352.0,309.0,849.0,8728.0,507.0,75210,1.0,0.11428571428571428,0
75211,31.1,73948.0,53614.0,3989.0,1086.0,14470.0,2374.0,5716.0,73725.0,1814.0,75211,6.0,0.08113809704116406,0
75212,30.6,27045.0,47089.0,1616.0,457.0,6232.0,895.0,1389.0,26819.0,1182.0,75212,3.0,0.11092623405435385,0
75214,37.1,34015.0,115304.0,10415.0,4072.0,1913.0,781.0,295.0,33903.0,1006.0,75214,6.0,0.17639276789651626,0
75215,35.0,18950.0,39486.0,1304.0,663.0,5193.0,549.0,844.0,18782.0,1496.0,75215,3.0,0.158311345646438,0
75216,33.5,55085.0,33889.0,2147.0,497.0,17323.0,1430.0,2292.0,54847.0,3270.0,75216,5.0,0.09076881183625306,0
75217,27.7,87154.0,49841.0,1999.0,419.0,23213.0,1377.0,6599.0,87131.0,1978.0,75217,2.0,0.02294788535236478,0
75218,41.2,21393.0,104026.0,5707.0,2868.0,1175.0,193.0,271.0,21305.0,285.0,75218,8.0,0.3739540971345767,0
75219,33.8,24797.0,86826.0,8671.0,3949.0,2247.0,701.0,380.0,24738.0,997.0,75219,5.0,0.2016372948340525,0
75220,31.1,40327.0,56849.0,3369.0,1199.0,8011.0,1130.0,3693.0,40326.0,1694.0,75220,6.0,0.14878369330721353,0
75223,35.6,13174.0,66875.0,1366.0,452.0,1925.0,555.0,408.0,13167.0,345.0,,0.0,0.0,1
75224,32.7,35903.0,50061.0,2138.0,829.0,6557.0,1058.0,1701.0,35802.0,1093.0,75224,10.0,0.2785282566916414,0
75225,47.7,21965.0,180181.0,7572.0,3177.0,950.0,279.0,78.0,21850.0,302.0,75225,4.0,0.18210789893011609,0
75226,32.0,5108.0,67612.0,948.0,345.0,1147.0,146.0,93.0,5108.0,335.0,75226,2.0,0.39154267815191857,0
75227,32.4,58315.0,54743.0,3301.0,815.0,9459.0,1186.0,3068.0,57809.0,1372.0,75227,8.0,0.13718597273428793,0
75228,30.8,68472.0,55848.0,5254.0,1987.0,14130.0,1851.0,3930.0,68244.0,2260.0,75228,23.0,0.3359037270709195,0
75229,37.4,32885.0,117083.0,5983.0,3228.0,2938.0,950.0,1737.0,32877.0,279.0,75229,10.0,0.3040900106431504,0
75230,47.6,26503.0,109589.0,7320.0,3225.0,1325.0,287.0,331.0,26362.0,978.0,75230,5.0,0.18865788778628834,0
75231,31.7,39158.0,50603.0,6084.0,2046.0,7057.0,944.0,2270.0,38805.0,2279.0,75231,29.0,0.740589407017723,0
75232,41.0,33333.0,52739.0,2921.0,1095.0,7462.0,610.0,1645.0,33333.0,1087.0,75232,6.0,0.18000180001800017,0
75233,32.1,15876.0,61750.0,1314.0,478.0,4210.0,349.0,1016.0,15636.0,360.0,75233,2.0,0.12597631645250695,0
75234,33.9,33838.0,85105.0,5753.0,2031.0,2902.0,683.0,1506.0,33800.0,461.0,75234,39.0,1.1525503871387197,0
75235,31.0,18936.0,57744.0,2533.0,1408.0,3502.0,926.0,433.0,18817.0,860.0,75235,10.0,0.5280946345585128,0
75236,30.0,18249.0,45739.0,1321.0,646.0,3424.0,710.0,881.0,18225.0,953.0,75236,1.0,0.054797523151953534,0
75237,28.0,19530.0,38552.0,1330.0,462.0,5596.0,550.0,689.0,19359.0,1601.0,75237,14.0,0.7168458781362007,0
75238,35.8,32180.0,71352.0,6522.0,3225.0,3092.0,428.0,1034.0,31834.0,821.0,75238,28.0,0.870105655686762,0
75240,31.2,26058.0,51607.0,3616.0,1167.0,5266.0,1235.0,1478.0,26051.0,1403.0,75240,26.0,0.9977741960242535,0
75241,34.4,33081.0,45356.0,1622.0,719.0,7613.0,633.0,1316.0,31038.0,1277.0,75241,2.0,0.06045766452041958,0
75243,34.2,63047.0,47319.0,8707.0,3732.0,12199.0,2338.0,2559.0,62845.0,3057.0,75243,79.0,1.253033451234793,0
75244,37.8,12734.0,109440.0,3844.0,1781.0,565.0,377.0,234.0,12709.0,159.0,75244,11.0,0.8638291188942987,0
75246,40.4,2265.0,42429.0,282.0,114.0,653.0,4.0,64.0,2204.0,273.0,75246,6.0,1.6989963870320643,0
75247,58.7,992.0,18750.0,37.0,70.0,708.0,81.0,25.0,992.0,217.0,75247,36.0,1.6989963870320643,0
75248,40.0,37282.0,98584.0,10352.0,4917.0,1653.0,802.0,204.0,37202.0,826.0,75248,4.0,0.10729038141730594,0
75249,30.5,17853.0,79162.0,2175.0,759.0,1583.0,478.0,821.0,17853.0,61.0,75249,2.0,0.1120259900296869,0
75251,31.7,3801.0,85294.0,1283.0,285.0,188.0,33.0,71.0,3801.0,292.0,75251,19.0,1.6989963870320643,0
75252,38.1,27541.0,77147.0,7350.0,3932.0,3845.0,938.0,742.0,27512.0,915.0,75252,23.0,0.8351185505246723,0
75253,25.6,24411.0,51642.0,717.0,311.0,5312.0,403.0,1105.0,24411.0,250.0,,0.0,0.0,1
75254,30.8,24316.0,70901.0,5363.0,2102.0,3938.0,722.0,814.0,24153.0,543.0,75254,12.0,0.49350222075999345,0
75287,34.1,52240.0,60256.0,12123.0,4212.0,7011.0,1496.0,898.0,52217.0,1818.0,75287,4.0,0.07656967840735068,0
75401,36.2,21000.0,51882.0,1301.0,455.0,3088.0,692.0,502.0,20397.0,524.0,75401,11.0,0.5238095238095238,0
75402,35.7,20299.0,78277.0,2851.0,1040.0,2064.0,538.0,158.0,20181.0,474.0,75402,15.0,0.7389526577663924,0
75407,34.0,26607.0,87839.0,2729.0,864.0,1524.0,299.0,791.0,26607.0,278.0,75407,1.0,0.03758409441124516,0
75409,32.7,22249.0,89444.0,3971.0,1156.0,2209.0,348.0,848.0,22243.0,51.0,75409,1.0,0.04494584026248371,0
75410,60.0,4196.0,77778.0,510.0,103.0,431.0,36.0,97.0,4196.0,37.0,,0.0,0.0,1
75411,41.2,875.0,47857.0,73.0,259.0,218.0,51.0,263.0,875.0,34.0,,0.0,0.0,1
75412,44.1,512.0,62000.0,32.0,41.0,30.0,5.0,263.0,512.0,149.0,,0.0,0.0,1
75414,36.9,3284.0,78776.0,426.0,91.0,394.0,120.0,73.0,3284.0,72.0,,0.0,0.0,1
75415,57.5,302.0,115446.0,55.0,11.0,28.0,226.0,263.0,302.0,149.0,,0.0,0.0,1
75416,42.8,2865.0,70000.0,486.0,124.0,244.0,15.0,72.0,2865.0,12.0,,0.0,0.0,1
75417,40.2,2357.0,53370.0,103.0,68.0,285.0,17.0,23.0,2357.0,39.0,75417,1.0,0.4242681374628765,0
75418,39.8,14473.0,58790.0,1269.0,611.0,1699.0,278.0,238.0,11760.0,172.0,75418,6.0,0.4145650521661024,0
75420,32.9,1364.0,59826.0,128.0,26.0,209.0,11.0,15.0,1364.0,38.0,,0.0,0.0,1
75421,28.8,847.0,57688.0,703.0,22.0,165.0,226.0,208.0,847.0,149.0,,0.0,0.0,1
75422,46.6,2826.0,65093.0,335.0,128.0,276.0,122.0,177.0,2826.0,7.0,,0.0,0.0,1
75423,40.8,3024.0,55288.0,145.0,45.0,449.0,68.0,32.0,3019.0,41.0,,0.0,0.0,1
75424,40.7,3483.0,85364.0,228.0,56.0,266.0,39.0,103.0,3483.0,149.0,,0.0,0.0,1
75426,53.6,3793.0,39203.0,248.0,68.0,1033.0,94.0,271.0,3603.0,74.0,75426,3.0,0.7909306617453203,0
75428,27.0,11398.0,51205.0,847.0,299.0,2204.0,337.0,220.0,11337.0,345.0,75428,3.0,0.2632040708896297,0
75431,43.1,1841.0,42201.0,56.0,13.0,367.0,64.0,20.0,1841.0,72.0,,0.0,0.0,1
75432,40.1,3115.0,64286.0,358.0,200.0,521.0,21.0,54.0,3052.0,67.0,75432,3.0,0.9630818619582664,0
75433,44.1,3053.0,80116.0,430.0,104.0,302.0,61.0,60.0,3053.0,40.0,,0.0,0.0,1
75435,58.1,1060.0,37321.0,117.0,11.0,271.0,3.0,6.0,1060.0,12.0,,0.0,0.0,1
75436,39.5,2334.0,75179.0,167.0,26.0,377.0,14.0,69.0,2334.0,34.0,,0.0,0.0,1
75437,37.3,1125.0,83611.0,73.0,49.0,115.0,37.0,50.0,1125.0,13.0,,0.0,0.0,1
75438,42.8,1046.0,92083.0,160.0,46.0,144.0,13.0,40.0,1046.0,16.0,,0.0,0.0,1
75439,35.0,1123.0,61250.0,48.0,30.0,177.0,21.0,33.0,1123.0,11.0,,0.0,0.0,1
75440,47.7,7251.0,61127.0,706.0,394.0,731.0,81.0,105.0,7187.0,104.0,75440,1.0,0.1379120121362571,0
75441,72.4,90.0,16474.0,6.0,7.0,965.0,226.0,263.0,90.0,149.0,,0.0,0.0,1
75442,40.3,10571.0,81839.0,1266.0,231.0,1355.0,304.0,55.0,10484.0,61.0,75442,2.0,0.1891968593321351,0
75446,39.2,3594.0,55744.0,486.0,142.0,462.0,85.0,105.0,3525.0,68.0,75446,1.0,0.2782415136338342,0
75447,39.5,1187.0,101875.0,72.0,25.0,130.0,12.0,104.0,1187.0,28.0,,0.0,0.0,1
75448,34.7,862.0,80098.0,74.0,6.0,15.0,123.0,263.0,862.0,149.0,,0.0,0.0,1
75449,42.3,1082.0,62500.0,55.0,33.0,115.0,70.0,35.0,1082.0,14.0,,0.0,0.0,1
75451,47.2,1613.0,47902.0,250.0,39.0,128.0,17.0,70.0,1613.0,12.0,,0.0,0.0,1
75452,36.8,4979.0,69911.0,415.0,189.0,579.0,144.0,79.0,4942.0,12.0,75452,1.0,0.2008435428800964,0
75453,35.1,3173.0,98518.0,324.0,83.0,117.0,129.0,91.0,3173.0,7.0,,0.0,0.0,1
75454,34.5,17241.0,137903.0,4093.0,1223.0,474.0,358.0,310.0,17241.0,25.0,,0.0,0.0,1
75455,33.4,26816.0,57120.0,1865.0,624.0,4635.0,474.0,1224.0,26584.0,445.0,75455,17.0,0.6339498806682577,0
75457,36.4,6278.0,70192.0,843.0,302.0,446.0,195.0,297.0,6179.0,53.0,75457,4.0,0.6371455877668047,0
75459,31.8,5395.0,71389.0,490.0,187.0,1100.0,100.0,388.0,5395.0,47.0,,0.0,0.0,1
75460,36.2,24094.0,43884.0,1802.0,625.0,5565.0,415.0,781.0,23713.0,1070.0,75460,29.0,1.2036191582966713,0
75462,39.6,11406.0,66884.0,1389.0,700.0,723.0,369.0,477.0,11283.0,172.0,75462,8.0,0.7013852358407856,0
75468,42.7,1142.0,69832.0,65.0,90.0,31.0,226.0,25.0,1142.0,8.0,,0.0,0.0,1
75469,53.9,311.0,79018.0,62.0,4.0,23.0,5.0,8.0,311.0,3.0,,0.0,0.0,1
75470,56.0,161.0,97581.0,10.0,3.0,7.0,226.0,263.0,161.0,31.0,,0.0,0.0,1
75471,38.3,1690.0,53221.0,114.0,17.0,302.0,226.0,263.0,1660.0,8.0,,0.0,0.0,1
75472,49.3,3905.0,56941.0,529.0,106.0,487.0,40.0,89.0,3905.0,89.0,,0.0,0.0,1
75473,50.0,3663.0,80699.0,472.0,104.0,199.0,37.0,92.0,3663.0,31.0,,0.0,0.0,1
75474,45.7,16586.0,62461.0,1344.0,400.0,2246.0,409.0,441.0,16545.0,153.0,,0.0,0.0,1
75476,53.0,1195.0,56250.0,78.0,71.0,131.0,39.0,263.0,1195.0,5.0,,0.0,0.0,1
75477,40.6,1246.0,80375.0,187.0,76.0,197.0,9.0,263.0,1246.0,11.0,,0.0,0.0,1
75478,44.0,879.0,54688.0,73.0,20.0,43.0,35.0,74.0,879.0,3.0,,0.0,0.0,1
75479,46.4,2019.0,72368.0,219.0,86.0,199.0,17.0,15.0,1951.0,25.0,75479,1.0,0.49529470034670625,0
75480,57.9,1730.0,69005.0,218.0,120.0,137.0,82.0,42.0,1730.0,17.0,,0.0,0.0,1
75481,37.0,385.0,61000.0,39.0,12.0,965.0,226.0,14.0,385.0,7.0,,0.0,0.0,1
